""	173
"tell"	5
"tells"	1
"temper"	1
"term"	1
"terrible"	2
"terrified"	1
"than"	6
"that"	46
"the"	178
"their"	2
"them"	4
"then"	8
"there"	8
"therefore"	1
"these"	1
"they"	7
"theyve"	1
"thin"	2
"thing"	2
"things"	1
"think"	5
"this"	15
"those"	5
"though"	5
"thought"	4
"thousand"	1
"threatened"	1
"three"	5
"throat"	1
"throughout"	1
"throw"	1
"thrown"	1
"thrust"	1
"time"	6
"tipping"	1
"to"	67
"told"	3
"tonight"	3
"too"	3
"took"	3
"touched"	1
"toward"	1
"tracks"	1
"trained"	1
"transferred"	1
"tricks"	1
"tried"	3
"triumph"	1
"trying"	2
"turned"	2
"turning"	1
"twice"	1
"twirling"	1
"two"	3
"ugly"	2
"uncomfortable"	1
"under"	3
"understand"	1
"unless"	2
"unsuccessfully"	1
"until"	1
"up"	11
"upon"	1
"uproar"	1
"uprooted"	1
"urns"	1
"use"	1
"used"	1
"utterly"	1
"v"	2
"vain"	1
"vanished"	2
"very"	8
"visit"	1
"visits"	1
"voice"	1
"w"	15
"wait"	1
"walking"	2
"wall"	2
"wand"	2
"wanted"	1
"war"	2
"warned"	1
"warning"	1
"was"	30
"wasn"	4
"watching"	1
"water"	1
"way"	2
"we"	8
"wear"	2
"wearily"	1
"week"	4
"well"	1
"were"	13
"wet"	1
"weve"	3
"what"	13
"whatever"	1
"when"	9
"where"	1
"which"	2
"while"	2
"whiskey"	2
"whiskeyfree"	1
"who"	11
"whole"	1
"whooshing"	1
"why"	5
"wide"	1
"wind"	1
"window"	1
"wishing"	1
"witch"	1
"witches"	1
"with"	13
"without"	3
"wizard"	4
"wizards"	2
"woman"	1
"won"	2
"wood"	1
"work"	1
"working"	1
"world"	2
"worry"	4
"worrying"	1
"worse"	1
"worst"	2
"would"	8
"wreaking"	1
"wrote"	1
"wwwztcprepcom"	18
"y"	11
"yawning"	1
"year"	1
"years"	5
"yes"	1
"yesterday"	1
"yet"	2
"you"	20
"youll"	1
"your"	4
"youre"	3
"youve"	1
